연도,동명,부과건수,견인건수,단속원금(원),데이터기준일자
2017,개포동,9409,284,376360000,2022-02-07
2017,논현동,71771,2054,2870840000,2022-02-07
2017,대치동,55222,2624,2208880000,2022-02-07
2017,도곡동,10763,130,430520000,2022-02-07
2017,삼성동,36472,1507,1458880000,2022-02-07
2017,세곡동,8006,39,320240000,2022-02-07
2017,수서동,9786,434,391440000,2022-02-07
2017,신사동,52528,610,2101120000,2022-02-07
2017,압구정동,6561,350,262440000,2022-02-07
2017,역삼동,90385,4214,3615400000,2022-02-07
2017,일원동,8507,220,340280000,2022-02-07
2017,자곡동,6180,200,247200000,2022-02-07
2017,청담동,39243,426,1569720000,2022-02-07
2018,개포동,8182,244,327280000,2022-02-07
2018,논현동,48776,1213,1951040000,2022-02-07
2018,대치동,43306,1631,1732240000,2022-02-07
2018,도곡동,7670,83,306800000,2022-02-07
2018,삼성동,30001,1160,1200040000,2022-02-07
2018,세곡동,7533,40,301320000,2022-02-07
2018,수서동,10976,667,439040000,2022-02-07
2018,신사동,26028,273,1041120000,2022-02-07
2018,압구정동,4412,170,176480000,2022-02-07
2018,역삼동,67609,3720,2704360000,2022-02-07
2018,일원동,8693,189,347720000,2022-02-07
2018,자곡동,2669,104,106760000,2022-02-07
2018,청담동,27741,373,1109640000,2022-02-07
2019,개포동,7057,1062,313970000,2022-02-07
2019,논현동,48210,9557,1991535000,2022-02-07
2019,대치동,41600,5002,1689555000,2022-02-07
2019,도곡동,7882,1500,329345000,2022-02-07
2019,삼성동,28419,4531,1160765000,2022-02-07
2019,세곡동,4338,777,176705000,2022-02-07
2019,수서동,10648,1645,437470000,2022-02-07
2019,신사동,28855,6964,1169465000,2022-02-07
2019,압구정동,4510,1072,198390000,2022-02-07
2019,역삼동,68450,12394,2759485000,2022-02-07
2019,율현동,1268,115,51500000,2022-02-07
2019,일원동 ,7467,570,353840000,2022-02-07
2019,자곡동,2664,437,110590000,2022-02-07
2019,청담동 ,28516,4400,1162725000,2022-02-07
2020,개포동,4581,245,224330000,2022-02-07
2020,논현동,27407,1165,2229425000,2022-02-07
2020,대치동,24356,1241,1013160000,2022-02-07
2020,도곡동,3986,150,164190000,2022-02-07
2020,삼성동,15740,722,656865000,2022-02-07
2020,세곡동,2598,4,106340000,2022-02-07
2020,수서동,5003,271,209800000,2022-02-07
2020,신사동,15494,322,643335000,2022-02-07
2020,압구정동,5730,458,236150000,2022-02-07
2020,역삼동,35506,1754,1339210000,2022-02-07
2020,일원동 ,5809,442,301820000,2022-02-07
2020,자곡동,1071,8,52500000,2022-02-07
2020,청담동 ,19564,500,823095000,2022-02-07
2021,개포동,5977,259,341810000,2022-02-07
2021,논현동,30624,810,1368970000,2022-02-07
2021,대치동,29055,514,1416905000,2022-02-07
2021,도곡동,5090,128,216000000,2022-02-07
2021,삼성동,18128,367,758145000,2022-02-07
2021,세곡동,4461,2,186930000,2022-02-07
2021,수서동,5098,169,273135000,2022-02-07
2021,신사동,18610,179,800890000,2022-02-07
2021,압구정동,8106,226,346325000,2022-02-07
2021,역삼동,37982,933,1599475000,2022-02-07
2021,일원동 ,6028,179,375270000,2022-02-07
2021,자곡동,1967,3,95680000,2022-02-07
2021,청담동 ,21038,302,914125000,2022-02-07
