strd_yymm,deto_id,bth_yr,sex_cd
202010,X0010254691714933659,1990,1
202010,X0013455316779233219,1954,2
202010,X0019385710745765957,1977,1
202010,X0019442830801994941,1992,1
202010,X0032015350750301834,1968,1
202010,X0040437714409076855,1961,2
202010,X0060546064543865767,1994,1
202010,X0080319379158089172,1985,1
202010,X0088676443599868338,1999,2
202010,X0113312418671928134,1998,1
202010,X0140193890593502132,1956,2
202010,X0145676426465876109,1968,2
202010,X0175285231787076298,1984,2
202010,X0177996937041300376,1994,2
202010,X0203394909997638707,1978,1
202010,X0209640967062397585,1964,2
202010,X0210575559057013960,1972,2
202010,X0212061638066139876,1967,2
202010,X0214807498644962070,1973,1
202010,X0215247670892594418,1980,1
202010,X0216321737024323898,1961,2
202010,X0221212769369921829,1967,1
202010,X0241291520095316932,1970,2
202010,X0247060335368829801,1957,2
202010,X0251392774322440779,1949,1
202010,X0285439617596665512,1943,2
202010,X0286636161588845387,1941,2
202010,X0295829070632811451,1982,2
202010,X0298465323177514236,1968,2
202010,X0301386901660578111,1977,1
202010,X0312781276809299306,1969,1
202010,X0314608091836797889,1974,2
202010,X0327785723698884853,1939,2
202010,X0333044583416978151,1951,2
202010,X0339813499954255847,1978,2
202010,X0342060941186493169,1956,1
202010,X0348610625361473636,1985,1
202010,X0377358127202124582,1961,2
202010,X0392110483605601454,1954,2
202010,X0395097918011318696,1942,2
202010,X0405806031336308091,1979,2
202010,X0412073205247474149,1992,2
202010,X0413657394880531462,1992,1
202010,X0422341154717735615,1989,1
202010,X0455965488226319910,1986,2
202010,X0456268139651732219,1950,2
202010,X0471166329698944221,1956,1
202010,X0472554518406992051,1982,2
202010,X0473756250702972881,1958,2
202010,X0474444465014724107,1967,1
